site_no,station_nm,Latitude,Longitude,year,SSC_mgL
st_s004,st_s004,67.9419572050712,-161.099034984902,2019,42.3305057288011
st_s004,st_s004,67.9419572050712,-161.099034984902,2020,65.5738522445381
st_s004,st_s004,67.9419572050712,-161.099034984902,2021,144.325218013733
st_s004,st_s004,67.9419572050712,-161.099034984902,2022,47.1724042835814
st_s004,st_s004,67.9419572050712,-161.099034984902,2017,59.4033889420085
st_s004,st_s004,67.9419572050712,-161.099034984902,2024,37.6514508361209
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,1986,34.0254879267861
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2005,53.8408130369485
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2006,22.358075293191
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2007,42.3937730624631
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2009,33.2020803904212
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2011,30.2982754678959
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2008,39.0865957880319
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,1990,29.6899060515156
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,1995,19.8338310510894
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2021,36.6992347687268
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2022,286.725803261648
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2023,56.9640463359745
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,1999,19.3547817591545
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2000,45.9772494854163
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2001,58.9990879555258
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2002,47.0517795717969
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2003,49.2858584836863
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2004,30.0599035364626
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2010,40.4292067456108
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2012,46.1653121705372
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2013,46.7182422135326
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2014,30.7509040533518
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2015,98.8238516731172
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2016,35.0610644859559
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2017,65.9316600826353
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2018,39.3252525734464
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2019,33.685308882353
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2020,39.3947343223122
st_s004_ref,st_s004_ref,67.9298102052143,-161.034903984855,2024,32.3065942606414
st_s005,st_s005,68.4250902052181,-132.203189984386,1986,11.0577944556217
st_s005,st_s005,68.4250902052181,-132.203189984386,1990,9.8639592429263
st_s005,st_s005,68.4250902052181,-132.203189984386,1988,13.8909687776738
st_s005,st_s005,68.4250902052181,-132.203189984386,1994,16.4258016900138
st_s005,st_s005,68.4250902052181,-132.203189984386,1996,8.72252651532933
st_s005,st_s005,68.4250902052181,-132.203189984386,1998,8.82862570191118
st_s005,st_s005,68.4250902052181,-132.203189984386,2007,11.063509514539
st_s005,st_s005,68.4250902052181,-132.203189984386,1992,13.6169998890951
st_s005,st_s005,68.4250902052181,-132.203189984386,1997,17.0361673185953
st_s005,st_s005,68.4250902052181,-132.203189984386,2004,13.6342654953162
st_s005,st_s005,68.4250902052181,-132.203189984386,2005,25.1517826069837
st_s005,st_s005,68.4250902052181,-132.203189984386,2008,7.51721694468904
st_s005,st_s005,68.4250902052181,-132.203189984386,2011,11.3478667940974
st_s005,st_s005,68.4250902052181,-132.203189984386,2009,12.7192238242387
st_s005,st_s005,68.4250902052181,-132.203189984386,2010,4.23002118338642
st_s005,st_s005,68.4250902052181,-132.203189984386,2015,249.251004459512
st_s005,st_s005,68.4250902052181,-132.203189984386,2016,98.0099225606443
st_s005,st_s005,68.4250902052181,-132.203189984386,2019,49.2584943209342
st_s005,st_s005,68.4250902052181,-132.203189984386,2021,37.7751186046449
