site_no,station_nm,month,year,decade,Latitude,Longitude,sample_dt,num_pix,B1,B2,B3,B4,B6,cluster,SSC_mgL,ten_day,reference
st_s002,st_s002,7,2001,2000,68.6937602052197,-131.64161998437,2001-07-03,1,174,258,267,398,297,3,60.8290500141322,180,"Affected, Post-slump"
st_s002,st_s002,7,2007,2005,68.6937602052197,-131.64161998437,2007-07-04,2,213,326,342,626,297,3,95.8232217753847,180,"Affected, Post-slump"
st_s002,st_s002,8,2010,2010,68.6937602052197,-131.64161998437,2010-08-29,16,276,267,216,373,286,3,18.9790150687749,240,"Affected, Post-slump"
st_s002,st_s002,5,2012,2010,68.6937602052197,-131.64161998437,2012-05-30,8,480,552,694,708,289,3,189.239978700886,150,"Affected, Post-slump"
st_s002,st_s002,8,2012,2010,68.6937602052197,-131.64161998437,2012-08-18,6,436,595,685,1140,294,3,248.476867112035,230,"Affected, Post-slump"
st_s002,st_s002,9,2013,2010,68.6937602052197,-131.64161998437,2013-09-06,1,450,466,531,638,283,3,175.887786094484,240,"Affected, Post-slump"
st_s002,st_s002,6,2014,2010,68.6937602052197,-131.64161998437,2014-06-05,4,440,484,616,571,286,3,286.800306755544,150,"Affected, Post-slump"
st_s002,st_s002,7,2014,2010,68.6937602052197,-131.64161998437,2014-07-23,11,571,801,815,1408,295,3,120.130911892964,200,"Affected, Post-slump"
st_s002,st_s002,7,2016,2015,68.6937602052197,-131.64161998437,2016-07-28,1,273,412,481,1120,299,3,486.30564226266,210,"Affected, Post-slump"
st_s002,st_s002,8,2016,2015,68.6937602052197,-131.64161998437,2016-08-13,1,414,555,737,787,292,3,513.926322896109,220,"Affected, Post-slump"
st_s002,st_s002,7,2018,2015,68.6937602052197,-131.64161998437,2018-07-18,7,256,425,427,846,290,3,169.27930082662,190,"Affected, Post-slump"
st_s002,st_s002,6,2020,2015,68.6937602052197,-131.64161998437,2020-06-05,24,241,223,177,199,282,3,11.6713277733326,150,"Affected, Post-slump"
st_s002,st_s002,7,2020,2015,68.6937602052197,-131.64161998437,2020-07-23,5,255,431,470,815,289,3,175.757856493722,200,"Affected, Post-slump"
st_s002,st_s002,8,2020,2015,68.6937602052197,-131.64161998437,2020-08-24,8,452,641,684,1103,293,3,131.509475217365,230,"Affected, Post-slump"
st_s002,st_s002,5,2021,2015,68.6937602052197,-131.64161998437,2021-05-23,2,469,570,715,956,282,3,472.331757620287,140,"Affected, Post-slump"
st_s002,st_s002,8,2021,2015,68.6937602052197,-131.64161998437,2021-08-11,7,604,757,779,1440,288,3,101.748693636766,220,"Affected, Post-slump"
st_s002,st_s002,8,2021,2015,68.6937602052197,-131.64161998437,2021-08-27,3,644,795,821,1247,286,3,92.0343819418689,230,"Affected, Post-slump"
st_s002,st_s002,6,2023,2015,68.6937602052197,-131.64161998437,2023-06-12,1,234,317,319,356,290,3,51.9255112260739,160,"Affected, Post-slump"
st_s002,st_s002,7,2023,2015,68.6937602052197,-131.64161998437,2023-07-04,1,337,515,545,1103,301,3,214.065626476433,180,"Affected, Post-slump"
st_s002,st_s002,6,2000,2000,68.6937602052197,-131.64161998437,2000-06-21,7,240,325,454,451,291,3,409.398799151475,170,"Affected, Post-slump"
st_s002,st_s002,7,2000,2000,68.6937602052197,-131.64161998437,2000-07-23,1,168,270,315,468,296,3,200.570685315262,200,"Affected, Post-slump"
st_s002,st_s002,7,2004,2000,68.6937602052197,-131.64161998437,2004-07-02,5,358,501,479,1027,294,3,92.0776281533809,180,"Affected, Post-slump"
st_s002,st_s002,7,2006,2005,68.6937602052197,-131.64161998437,2006-07-08,2,151,191,216,427,290,3,204.113694839648,180,"Affected, Post-slump"
st_s002,st_s002,7,2007,2005,68.6937602052197,-131.64161998437,2007-07-11,1,265,399,310,1046,302,3,52.5914063207673,190,"Affected, Post-slump"
st_s002,st_s002,9,2009,2005,68.6937602052197,-131.64161998437,2009-09-02,1,422,465,575,562,287,3,183.443464050641,240,"Affected, Post-slump"
st_s002,st_s002,9,2010,2010,68.6937602052197,-131.64161998437,2010-09-05,2,182,269,209,446,283,3,44.4532460189139,240,"Affected, Post-slump"
st_s002,st_s002,8,2012,2010,68.6937602052197,-131.64161998437,2012-08-09,5,330,520,623,1119,294,3,374.75740604916,220,"Affected, Post-slump"
st_s002,st_s002,6,2013,2010,68.6937602052197,-131.64161998437,2013-06-09,2,443,557,690,845,286,3,180.18283366984,160,"Affected, Post-slump"
st_s002,st_s002,8,2013,2010,68.6937602052197,-131.64161998437,2013-08-12,5,435,603,624,1234,299,3,143.95813797843,220,"Affected, Post-slump"
st_s002,st_s002,6,2014,2010,68.6937602052197,-131.64161998437,2014-06-12,1,282,304,317,440,295,3,60.6818422031682,160,"Affected, Post-slump"
st_s002,st_s002,7,2014,2010,68.6937602052197,-131.64161998437,2014-07-30,11,468,520,476,1132,281,3,68.7727332450699,210,"Affected, Post-slump"
st_s002,st_s002,7,2015,2015,68.6937602052197,-131.64161998437,2015-07-01,2,454,528,430,1169,297,3,37.8345541583822,180,"Affected, Post-slump"
st_s002,st_s002,6,2016,2015,68.6937602052197,-131.64161998437,2016-06-17,2,503,590,622,962,281,3,98.6150714918122,160,"Affected, Post-slump"
st_s002,st_s002,5,2017,2015,68.6937602052197,-131.64161998437,2017-05-19,4,700,784,874,1150,281,3,142.955195633736,130,"Affected, Post-slump"
st_s002,st_s002,8,2017,2015,68.6937602052197,-131.64161998437,2017-08-23,1,378,566,616,1098,293,3,158.796817089876,230,"Affected, Post-slump"
st_s002,st_s002,6,2018,2015,68.6937602052197,-131.64161998437,2018-06-07,1,266,306,312,360,286,3,90.2783953106605,150,"Affected, Post-slump"
st_s002,st_s002,7,2018,2015,68.6937602052197,-131.64161998437,2018-07-25,1,392,555,590,1040,296,3,182.965210540518,200,"Affected, Post-slump"
st_s002,st_s002,7,2019,2015,68.6937602052197,-131.64161998437,2019-07-28,6,471,747,748,1201,297,3,132.944718156632,200,"Affected, Post-slump"
st_s002,st_s002,5,2020,2015,68.6937602052197,-131.64161998437,2020-05-27,3,449,558,702,708,279,3,261.2832356949,140,"Affected, Post-slump"
st_s002,st_s002,7,2020,2015,68.6937602052197,-131.64161998437,2020-07-30,10,661,852,830,1487,295,3,94.6990241070353,210,"Affected, Post-slump"
st_s002,st_s002,6,2021,2015,68.6937602052197,-131.64161998437,2021-06-15,1,278,384,418,509,295,3,148.360459322539,160,"Affected, Post-slump"
st_s002,st_s002,7,2021,2015,68.6937602052197,-131.64161998437,2021-07-17,2,372,572,526,1112,299,3,109.437462725396,190,"Affected, Post-slump"
st_s002,st_s002,7,2022,2015,68.6937602052197,-131.64161998437,2022-07-16,5,498,715,742,1191,291,3,157.422938254277,190,"Affected, Post-slump"
st_s002,st_s002,7,2023,2015,68.6937602052197,-131.64161998437,2023-07-09,4,334,588,615,1103,298,3,225.11204791426,190,"Affected, Post-slump"
st_s002,st_s002,7,1999,1995,68.6937602052197,-131.64161998437,1999-07-12,11,162,192,163,394,288,3,29.1639609583392,190,"Affected, Post-slump"
st_s002,st_s002,7,1999,1995,68.6937602052197,-131.64161998437,1999-07-28,6,157,188,156,383,287,3,39.2067530332003,200,"Affected, Post-slump"
st_s002,st_s002,6,2000,2000,68.6937602052197,-131.64161998437,2000-06-12,5,441,549,631,846,287,3,174.601105636362,160,"Affected, Post-slump"
st_s002,st_s002,7,2002,2000,68.6937602052197,-131.64161998437,2002-07-20,22,141,157,114,283,299,3,12.0931441778935,200,"Affected, Post-slump"
st_s002,st_s002,9,2002,2000,68.6937602052197,-131.64161998437,2002-09-06,2,158,223,239,389,289,3,124.039640240158,240,"Affected, Post-slump"
st_s002,st_s002,8,2003,2000,68.6937602052197,-131.64161998437,2003-08-24,12,204,201,191,341,287,3,61.7664064618091,230,"Affected, Post-slump"
st_s002,st_s002,8,2004,2000,68.6937602052197,-131.64161998437,2004-08-26,5,255,190,174,325,281,3,31.3572231754355,230,"Affected, Post-slump"
st_s002,st_s002,8,2005,2005,68.6937602052197,-131.64161998437,2005-08-29,1,182,224,270,485,285,3,228.110174567111,240,"Affected, Post-slump"
