system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,cloud_cover,cloud_qa_count,date,img_qual,lat,lon,nd_median,pixel_qa_median,site_no,snow_ice_qa_count,solar_az,solar_zen,.geo
1_1_2_LE07_063012_20160928_0,316.87500000000006,54,305.05000000000007,325.9499999999999,467.0250000000001,279.75,273.4671983,177.72499999999997,43.0,0,2016-09-28,9.0,68.42509020521814,-132.20318998438606,-0.0756966695189476,4.0,s005,0,177.0994509,19.25903999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20180529_0,695.2750000000002,2,631.2,675.4749999999998,1037.6499999999999,497.54999999999995,279.86573174,343.2750000000001,4.0,102,2018-05-29,9.0,68.42509020521814,-132.20318998438606,-0.11840531561461802,2.0,s005,0,173.27811128,43.30512761,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20180529_1,892.7249999999998,2,957.3500000000001,962.5749999999999,1721.5750000000003,908.3999999999997,284.00153594,463.1750000000001,4.0,52,2018-05-29,9.0,68.38263020514366,-132.3255099846317,-0.026236098259687424,4.0,s005_ref,3,173.27811128,43.30512761,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20180630_0,137.8499999999999,8,132.89999999999995,96.05000000000003,349.87500000000006,131.52499999999984,288.3014051,82.02500000000002,17.0,4,2018-06-30,9.0,68.42509020521814,-132.20318998438606,-0.005199962182093655,32.0,s005,0,170.96012973,44.63794349,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20190703_1,186.8,3,241.52499999999992,185.97499999999988,540.7250000000003,217.8749999999999,293.01485468,112.54999999999987,27.0,48,2019-07-03,9.0,68.38263020514366,-132.3255099846317,-0.05261441320180893,4.0,s005_ref,0,167.28509852,44.2219151,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20200603_1,1088.25,1,1239.5,1247.4750000000001,1534.5750000000003,724.1500000000001,284.5757633,484.62499999999994,1.0,90,2020-06-03,9.0,68.38263020514366,-132.3255099846317,-0.26244494318962097,2.0,s005_ref,0,163.87170267,43.47003275,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20210521_0,757.1499999999997,3,870.1750000000003,979.3499999999999,1300.275,523.9500000000003,285.93613526,393.6000000000001,3.0,0,2021-05-21,9.0,68.42509020521814,-132.20318998438606,-0.2483457326889038,4.0,s005,0,156.8908381,40.64877314,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20210708_1,248.1249999999999,5,277.8249999999999,212.37499999999991,846.7999999999997,253.0750000000001,295.26049381999997,146.09999999999985,28.0,0,2021-07-08,9.0,68.38263020514366,-132.3255099846317,-0.04661894962191582,4.0,s005_ref,0,152.58273183,42.14191975,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20210724_0,298.17499999999995,1,499.74999999999994,455.20000000000005,1108.8750000000002,297.34999999999985,294.15647336,154.0749999999999,90.0,0,2021-07-24,9.0,68.42509020521814,-132.20318998438606,-0.25392046570777893,1.0,s005,0,152.40091825,39.38151816,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20220704_0,344.09999999999997,3,454.9249999999999,388.10000000000014,1170.2,400.75,300.45930224,305.05000000000007,8.0,0,2022-07-04,9.0,68.42509020521814,-132.20318998438606,-0.11102484166622162,1.0,s005,0,142.25489562,40.88235649,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20230531_1,307.8,18,305.3249999999999,270.4000000000001,420.275,183.2249999999999,287.28283514,127.95,32.0,0,2023-05-31,9.0,68.38263020514366,-132.3255099846317,-0.2499232441186905,32.0,s005_ref,0,134.41027141,38.31137404,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_063012_20230810_0,1508.45,16,1439.15,1075.3249999999998,3213.9999999999995,973.0250000000001,290.71452722000004,302.57499999999993,42.0,38,2023-08-10,9.0,68.42509020521814,-132.20318998438606,-0.19079677760601044,2.0,s005,10,132.25944928,31.0266831,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_060012_20130603_0,185.70000000000005,1,382.0499999999999,454.65000000000003,636.9750000000001,340.25,285.11922848,215.95000000000002,11.3,97,2013-06-03,,68.42509020521814,-132.20318998438606,-0.057870689779520035,192.0,s005,0,173.76353479,44.02553976,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_061012_20150515_0,644.4,5,1658.0499999999997,1488.9249999999997,1859.075,374.9,275.76068972,355.09999999999985,8.24,141,2015-05-15,,68.42509020521814,-132.20318998438606,-0.5506300926208496,192.0,s005,0,173.67629314,40.55093101,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_061012_20150702_0,68.13749999999993,2,287.0375,139.08749999999998,572.6249999999999,220.21249999999992,295.53393542000003,114.33749999999992,31.38,149,2015-07-02,,68.42509020521814,-132.20318998438606,-0.15609827125445008,192.0,s005,0,171.07332164,44.5286514,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_061012_20150819_0,113.925,1,86.97499999999997,-17.524999999999903,56.72499999999997,35.550000000000026,280.53566365999995,26.47499999999997,89.44,149,2015-08-19,,68.42509020521814,-132.20318998438606,-0.419710248708725,198.0,s005,0,172.07862072,34.21397044,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_061012_20160704_0,420.275,7,655.675,713.1500000000002,977.9749999999998,488.20000000000005,299.86114874,216.7749999999999,20.95,8,2016-07-04,,68.42509020521814,-132.20318998438606,-0.17151886224746704,96.0,s005,0,171.07556186,44.29276564,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_061012_20160805_0,260.4999999999999,1,467.8499999999999,516.8000000000001,1157.0000000000002,451.62499999999994,284.58943538,249.5,75.43,135,2016-08-05,,68.42509020521814,-132.20318998438606,-0.0176459401845932,128.0,s005,0,171.19596614,38.18895825,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_061012_20180726_0,288.82500000000005,3,477.1999999999998,526.4249999999998,643.3,399.65,299.36553584,163.97500000000008,45.16,6,2018-07-26,,68.42509020521814,-132.20318998438606,-0.08844158053398132,96.0,s005,0,170.57996033,40.78939359,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_061012_20190713_0,200.82500000000005,1,317.1499999999999,295.14999999999986,542.0999999999998,294.04999999999984,297.10964264,174.14999999999986,17.45,1,2019-07-13,,68.42509020521814,-132.20318998438606,-0.037794504314661026,96.0,s005,0,170.79430747,43.27618834,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_061012_20200528_0,-276.85000000000014,3,562.4499999999999,609.1999999999997,1450.6999999999998,510.2000000000001,283.84772504,418.62499999999994,5.04,149,2020-05-28,,68.42509020521814,-132.20318998438606,-0.10202435404062271,192.0,s005,0,173.33139427,43.2379283,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_061012_20200528_1,932.0499999999998,1,1616.5249999999999,1453.7250000000001,2098.6,441.175,279.74268301999996,348.77500000000003,5.04,128,2020-05-28,,68.38263020514366,-132.3255099846317,-0.5711960196495056,192.0,s005_ref,0,173.33139427,43.2379283,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_061012_20200613_0,200.27500000000003,5,293.225,303.40000000000003,544.0250000000002,276.1749999999999,297.83426288,194.49999999999994,11.6,0,2020-06-13,,68.42509020521814,-132.20318998438606,-0.044733837246894836,96.0,s005,0,172.34694063,44.83769758,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_061012_20211006_0,411.7499999999999,4,351.93749999999994,-22.475000000000133,328.2874999999999,46.68749999999999,269.54502035,119.97499999999994,60.7,139,2021-10-06,,68.42509020521814,-132.20318998438606,-0.7739373743534088,198.0,s005,0,177.23382175,16.25189806,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_061012_20211006_1,693.0750000000003,3,704.6249999999999,251.7,1050.3000000000002,152.9749999999999,269.08187864,165.62500000000009,60.7,125,2021-10-06,,68.38263020514366,-132.3255099846317,-0.6432486176490784,194.0,s005_ref,0,177.23382175,16.25189806,"{""type"":""MultiPoint"",""coordinates"":[]}"
