system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,cloud_cover,cloud_qa_count,date,img_qual,lat,lon,nd_median,pixel_qa_median,site_no,snow_ice_qa_count,solar_az,solar_zen,.geo
1_1_2_LE07_053016_20170707_10,691.2875000000001,6,997.9124999999999,1153.15,1690.3625,668.4625,297.60354652999996,394.1500000000001,5.0,154,2017-07-07,9.0,63.66944020518405,-124.03920998715267,-0.18034398555755615,2.0,s008,0,164.02930016,48.92940678,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20170707_11,514.875,6,804.5875,916.3749999999998,1577.1999999999998,586.9249999999998,297.66677990000005,365.6875,5.0,153,2017-07-07,9.0,63.557550205232616,-124.15494998723467,-0.1453699916601181,2.0,s008_ref,0,164.02930016,48.92940678,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20170723_10,1018.8125,8,1354.3125,1504.4625,1794.1750000000002,598.7500000000001,290.71794524,442.82499999999993,30.0,0,2017-07-23,9.0,63.66944020518405,-124.03920998715267,-0.39288702607154846,1.0,s008,0,164.04079157,46.31651916,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20170723_11,434.57499999999993,2,626.9375000000002,613.875,1045.2125,584.1749999999998,294.2145797,412.16249999999997,30.0,0,2017-07-23,9.0,63.557550205232616,-124.15494998723467,-0.03306642360985279,1.0,s008_ref,0,164.04079157,46.31651916,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20170808_10,973.4374999999998,18,1345.1000000000001,1513.95,1812.875,496.44999999999993,298.09745042,367.20000000000005,17.0,0,2017-08-08,9.0,63.66944020518405,-124.03920998715267,-0.43725821375846863,1.0,s008,0,165.06785427,42.37886978,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20170808_11,560.8000000000002,1,743.125,712.0500000000002,1161.9499999999998,706.2750000000001,296.75416856,429.35,17.0,0,2017-08-08,9.0,63.557550205232616,-124.15494998723467,-0.02542431280016899,1.0,s008_ref,0,165.06785427,42.37886978,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20170909_10,1044.8000000000002,19,1302.7499999999998,1444.375,1827.1749999999997,523.6750000000001,285.23544116,313.29999999999995,44.0,0,2017-09-09,9.0,63.66944020518405,-124.03920998715267,-0.44101274013519287,1.0,s008,0,169.06513738,31.75393142,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20170909_11,421.51250000000005,8,504.97499999999974,621.8499999999999,598.1999999999998,315.49999999999994,285.23885917999996,234.1,44.0,0,2017-09-09,9.0,63.557550205232616,-124.15494998723467,-0.2537451758980751,32.0,s008_ref,0,169.06513738,31.75393142,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20180710_10,1180.3750000000002,29,1498.5500000000002,1683.3500000000001,2243.8,493.15,293.74289294,295.6999999999999,29.0,0,2018-07-10,9.0,63.66944020518405,-124.03920998715267,-0.5048632621765137,16.0,s008,27,162.70490932,48.45630617,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20180710_11,398.27499999999986,7,559.9749999999998,650.1750000000001,707.6500000000002,358.12499999999994,297.47537078,268.2000000000001,29.0,0,2018-07-10,9.0,63.557550205232616,-124.15494998723467,-0.18925802409648895,32.0,s008_ref,0,162.70490932,48.45630617,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20180811_10,902.6250000000002,15,1188.075,1314.3,1708.6499999999999,531.9249999999997,291.21014012,304.7749999999999,15.0,0,2018-08-11,9.0,63.66944020518405,-124.03920998715267,-0.39540237188339233,1.0,s008,0,163.97368702,41.44869218,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20180811_11,244.00000000000006,3,385.34999999999985,456.0249999999999,469.49999999999994,138.12500000000006,288.82094414,148.85000000000008,15.0,0,2018-08-11,9.0,63.557550205232616,-124.15494998723467,-0.47227659821510315,32.0,s008_ref,0,163.97368702,41.44869218,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20180912_10,797.5749999999998,14,1057.1749999999997,1206.3625,1403.125,416.14999999999986,279.22998001999997,292.125,4.0,0,2018-09-12,9.0,63.66944020518405,-124.03920998715267,-0.42739222943782806,1.0,s008,0,168.03282326,30.61142068,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20180912_11,402.67499999999984,5,522.5750000000002,618.2749999999997,556.6749999999998,415.04999999999984,278.93603029999997,271.7749999999999,4.0,0,2018-09-12,9.0,63.557550205232616,-124.15494998723467,-0.16024279594421387,32.0,s008_ref,0,168.03282326,30.61142068,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20190307_10,1637.4250000000002,1,1472.9750000000004,1542.0,2674.45,695.2750000000002,258.88592498,390.30000000000007,0.0,121,2019-03-07,9.0,63.66944020518405,-124.03920998715267,-0.35867634415626526,2.0,s008,101,163.69637856,20.99011451,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20190408_10,1037.44375,76,1025.3849999999998,1012.1666666666666,1029.9499999999998,310.27499999999986,274.0482617,214.30000000000004,6.0,0,2019-04-08,9.0,63.66944020518405,-124.03920998715267,-0.5353599786758423,32.0,s008,0,164.15031643,33.61765538,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20190408_11,1403.6749999999997,56,1436.9500000000003,1419.0750000000003,2576.0,761.8249999999998,277.93796846,428.8,6.0,0,2019-04-08,9.0,63.557550205232616,-124.15494998723467,-0.29835906624794006,1.0,s008_ref,70,164.15031643,33.61765538,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20190510_10,1050.5750000000003,31,1317.875,1521.9250000000002,1815.9000000000003,526.1500000000002,278.96679248,399.1,32.0,126,2019-05-10,9.0,63.66944020518405,-124.03920998715267,-0.41770997643470764,2.0,s008,0,163.74028532,44.04482051,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20190510_11,527.2500000000002,7,696.1,894.6500000000002,808.025,273.15000000000003,282.04301048,168.64999999999992,32.0,91,2019-05-10,9.0,63.557550205232616,-124.15494998723467,-0.436048299074173,32.0,s008_ref,0,163.74028532,44.04482051,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20190526_10,997.7750000000002,25,1309.075,1546.6750000000002,1907.2,471.6999999999999,289.88053034,300.1000000000001,55.0,0,2019-05-26,9.0,63.66944020518405,-124.03920998715267,-0.4809710383415222,1.0,s008,0,162.63066078,47.44634027,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20190526_11,661.175,3,825.3500000000003,919.4000000000002,1126.7500000000002,663.6500000000001,286.87950878000004,441.4499999999999,55.0,0,2019-05-26,9.0,63.557550205232616,-124.15494998723467,-0.10876097530126572,1.0,s008_ref,0,162.63066078,47.44634027,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20190611_10,838.1374999999999,4,1091.9625,1234.9625,1831.1625000000001,670.8,294.35471852,397.5875,15.0,152,2019-06-11,9.0,63.66944020518405,-124.03920998715267,-0.2391920368813395,2.0,s008,0,161.07502541,49.23083955,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20190611_11,439.24999999999994,5,697.2,789.3250000000002,916.3749999999998,512.9499999999998,294.57005377999997,343.54999999999995,15.0,153,2019-06-11,9.0,63.557550205232616,-124.15494998723467,-0.17566943168640137,2.0,s008_ref,0,161.07502541,49.23083955,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20190627_10,889.1500000000002,41,1206.2250000000001,1402.85,1817.0000000000002,330.07499999999993,288.80727206,209.62499999999994,13.0,0,2019-06-27,9.0,63.66944020518405,-124.03920998715267,-0.5706567764282227,1.0,s008,0,159.62043176,49.27747527,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20190627_11,459.6,28,759.3499999999998,940.3000000000001,1002.7249999999999,330.07499999999993,288.4381259,209.9000000000001,13.0,0,2019-06-27,9.0,63.557550205232616,-124.15494998723467,-0.3741319179534912,1.0,s008_ref,0,159.62043176,49.27747527,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20190814_10,1050.5750000000003,34,1329.975,1457.5749999999998,1998.5000000000002,471.975,287.93225894,277.8249999999999,89.0,0,2019-08-14,9.0,63.66944020518405,-124.03920998715267,-0.5039348602294922,1.0,s008,2,160.57285661,40.21824166,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20200410_10,1683.6250000000002,1,1547.775,1428.7,1742.7500000000002,268.47499999999997,268.70589644,207.14999999999984,3.0,0,2020-04-10,9.0,63.66944020518405,-124.03920998715267,-0.7043634057044983,1.0,s008,70,159.21283184,34.03260719,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20200512_10,1050.025,51,1326.675,1493.0500000000002,1839.0,465.09999999999997,276.43403966,310.8249999999999,4.0,0,2020-05-12,9.0,63.66944020518405,-124.03920998715267,-0.4808499813079834,1.0,s008,0,157.86627353,44.06203036,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20200512_11,802.2499999999999,36,875.4000000000001,933.425,1122.6249999999998,521.2,274.42766192,368.85,4.0,0,2020-05-12,9.0,63.557550205232616,-124.15494998723467,-0.2659124373287608,1.0,s008_ref,0,157.86627353,44.06203036,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20200528_10,861.1000000000003,11,1113.825,1255.4500000000003,1539.2499999999998,474.9999999999999,290.13346382,324.84999999999985,25.0,98,2020-05-28,9.0,63.66944020518405,-124.03920998715267,-0.4268735945224762,1.0,s008,0,156.33296572,47.14122596,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20200528_11,394.9749999999999,1,665.0250000000002,760.1750000000002,768.975,527.5249999999997,288.8653784,378.4750000000001,25.0,133,2020-05-28,9.0,63.557550205232616,-124.15494998723467,-0.11529915034770966,2.0,s008_ref,0,156.33296572,47.14122596,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20200629_10,886.9500000000003,1,1326.95,1486.1750000000002,1765.85,388.37499999999994,293.45236123999996,323.475,21.0,130,2020-06-29,9.0,63.66944020518405,-124.03920998715267,-0.5471703410148621,2.0,s008,1,153.09869995,48.24820267,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20200629_11,406.5250000000001,24,694.1750000000002,825.9,801.9749999999998,254.1750000000001,294.2487599,185.70000000000005,21.0,0,2020-06-29,9.0,63.557550205232616,-124.15494998723467,-0.463963726472294,32.0,s008_ref,0,153.09869995,48.24820267,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20200715_10,892.4500000000002,42,1197.15,1380.3,1843.9499999999998,346.5750000000001,291.82880174,221.99999999999997,46.0,0,2020-07-15,9.0,63.66944020518405,-124.03920998715267,-0.5580815076828003,1.0,s008,2,152.57451097,46.30320583,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20200715_11,390.30000000000007,28,608.65,789.3250000000002,742.5749999999998,178.82499999999996,291.48358171999996,163.69999999999996,46.0,0,2020-07-15,9.0,63.557550205232616,-124.15494998723467,-0.5456681910569107,32.0,s008_ref,0,152.57451097,46.30320583,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20200731_10,863.3000000000002,14,1128.6750000000002,1122.9,2277.9,592.1500000000002,296.13892496,350.975,1.0,0,2020-07-31,9.0,63.66944020518405,-124.03920998715267,-0.3325822651386261,16.0,s008,11,153.19202201,42.96679827,"{""type"":""MultiPoint"",""coordinates"":[]}"
