system:index,date,mean,site_no,.geo
19800610_0,1980-06-10,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800611_0,1980-06-11,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800612_0,1980-06-12,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800613_0,1980-06-13,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800614_0,1980-06-14,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800615_0,1980-06-15,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800616_0,1980-06-16,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800617_0,1980-06-17,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800618_0,1980-06-18,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800619_0,1980-06-19,6.17471348485195,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800620_0,1980-06-20,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800621_0,1980-06-21,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800622_0,1980-06-22,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800623_0,1980-06-23,0.09550560539491168,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800624_0,1980-06-24,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800625_0,1980-06-25,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800626_0,1980-06-26,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800627_0,1980-06-27,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800628_0,1980-06-28,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800629_0,1980-06-29,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800630_0,1980-06-30,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800701_0,1980-07-01,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
